Cluster	eval(parse(text = group))	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Glycyrrhizic.acid	Glycyrrhizic	hsa04080	Neuroactive ligand-receptor interaction	76/659	341/8111	8.85158126993434e-17	2.72628703113978e-14	2.33868094605634e-14	ADRA1B/ADRA2B/ADRB1/AGTR2/AVPR1B/BDKRB1/C3AR1/CCKAR/CCKBR/CGA/CHRM2/CHRM3/CHRNA10/CHRNA9/CHRNB3/CYSLTR1/CYSLTR2/DRD1/DRD5/EDNRB/F2/F2RL3/FSHR/GABRA3/GABRA6/GABRB2/GABRD/GALR2/GALR3/GCG/GCGR/GH2/GHRH/GLP2R/GLRA2/GNRH2/GPR35/GPR50/GRIA2/GRIA4/GRID2/GRIK1/GRM1/GRM2/HCRT/HCRTR2/HRH1/HTR1A/HTR1F/HTR2B/HTR4/HTR5A/INSL5/LEP/LPAR4/MC5R/NMUR1/NPBWR2/NPY1R/OPRD1/OXT/P2RX1/P2RX3/P2RX5/P2RX7/PDYN/POMC/PTH/S1PR1/S1PR4/SCTR/SSTR2/SSTR5/TAAR5/TAC1/VIP	76
Glycyrrhizic.acid	Glycyrrhizic	hsa04060	Cytokine-cytokine receptor interaction	61/659	295/8111	3.99832979799931e-12	6.15742788891893e-10	5.2820041015675e-10	BMP6/CCL1/CCL16/CCL2/CCL21/CCL23/CCL24/CCL7/CCL8/CCR3/CCR4/CCR5/CCR6/CCR9/CD27/CSF2RB/CXCL1/CXCL11/CXCL3/CXCL6/CXCR2/CXCR3/FASLG/GDF2/GH2/IFNA14/IFNA17/IFNA2/IFNA21/IFNB1/IL10RA/IL12A/IL12B/IL12RB1/IL13/IL18RAP/IL19/IL1RL1/IL1RL2/IL2/IL21/IL21R/IL22/IL2RA/IL2RG/IL3/IL33/IL36RN/IL5/IL7/IL7R/LEP/MSTN/NGFR/PF4/PF4V1/PPBP/THPO/TNFSF14/TNFSF4/TNFSF8	61
Glycyrrhizic.acid	Glycyrrhizic	hsa04061	Viral protein interaction with cytokine and cytokine receptor	29/659	100/8111	6.4785257577581e-10	6.65128644463165e-08	5.70564900069222e-08	CCL1/CCL16/CCL2/CCL21/CCL23/CCL24/CCL7/CCL8/CCR3/CCR4/CCR5/CCR6/CCR9/CXCL1/CXCL11/CXCL3/CXCL6/CXCR2/CXCR3/IL10RA/IL18RAP/IL19/IL2/IL2RA/IL2RG/PF4/PF4V1/PPBP/TNFSF14	29
Glycyrrhizic.acid	Glycyrrhizic	hsa04020	Calcium signaling pathway	48/659	240/8111	2.83495026967796e-09	2.18291170765203e-07	1.87255925707676e-07	ADRA1B/ADRB1/AVPR1B/BDKRB1/CACNA1C/CACNA1D/CACNA1I/CAMK1/CAMK1D/CAMK1G/CAMK2A/CASQ2/CCKAR/CCKBR/CHRM2/CHRM3/CYSLTR1/CYSLTR2/DRD1/DRD5/EDNRB/FGF1/FGF16/FGF17/FGF21/GDNF/GRM1/HRH1/HTR2B/HTR4/HTR5A/MCOLN1/MYLK3/NOS3/P2RX1/P2RX3/P2RX5/P2RX7/PDE1B/PDGFB/PDGFD/PDGFRA/PLCE1/PRKACG/PRKCG/RYR1/SLC8A1/TNNC2	48
Glycyrrhizic.acid	Glycyrrhizic	hsa04610	Complement and coagulation cascades	21/659	85/8111	2.79139712339792e-06	0.000171950062801312	0.000147503300625869	A2M/BDKRB1/C1S/C3AR1/C7/C9/CFH/CFHR5/CPB2/F2/F2RL3/F5/ITGAX/KLKB1/PROC/SERPINB2/SERPINC1/SERPINE1/SERPINF2/SERPING1/VWF	21
Glycyrrhizic.acid	Glycyrrhizic	hsa04151	PI3K-Akt signaling pathway	50/659	354/8111	6.84370073343787e-05	0.00351309970983144	0.00301362962121562	ANGPT4/AREG/CD19/CHRM2/COL4A4/COMP/CREB3L1/EFNA3/FASLG/FGF1/FGF16/FGF17/FGF21/FLT3/G6PC/GH2/GNG11/GNG13/IFNA14/IFNA17/IFNA2/IFNA21/IFNB1/IL2/IL2RA/IL2RG/IL3/IL7/IL7R/INS/ITGA4/ITGB8/LAMA1/LAMB1/LAMC2/LPAR4/NGFR/NOS3/NTF3/PCK1/PDGFB/PDGFD/PDGFRA/PRKAA2/SGK2/SPP1/TCL1B/TEK/TGFA/VWF	50
Glycyrrhizic.acid	Glycyrrhizic	hsa04630	JAK-STAT signaling pathway	28/659	162/8111	9.79195601140901e-05	0.00430846064501997	0.00369591121633634	CSF2RB/GFAP/GH2/IFNA14/IFNA17/IFNA2/IFNA21/IFNB1/IL10RA/IL12A/IL12B/IL12RB1/IL13/IL19/IL2/IL21/IL21R/IL22/IL2RA/IL2RG/IL3/IL5/IL7/IL7R/LEP/PDGFB/PDGFRA/THPO	28
Glycyrrhizic.acid	Glycyrrhizic	hsa04742	Taste transduction	18/659	86/8111	0.000149794278725978	0.00537724053797132	0.00461273880735065	ASIC2/CACNA1C/CHRM3/GABRA3/GABRA6/GNG13/GRM1/HCN4/HTR1A/HTR1F/HTR3B/P2RX3/PDE1B/PRKACG/SCN2A/TAS2R13/TAS2R7/TAS2R9	18
Glycyrrhizic.acid	Glycyrrhizic	hsa04913	Ovarian steroidogenesis	13/659	51/8111	0.000157127158577084	0.00537724053797132	0.00461273880735065	BMP6/CGA/CYP11A1/CYP17A1/CYP19A1/CYP1A1/FSHR/HSD17B2/HSD3B2/INS/PRKACG/PTGS2/STAR	13
Glycyrrhizic.acid	Glycyrrhizic	hsa04726	Serotonergic synapse	21/659	115/8111	0.000330203917684017	0.0101702806646677	0.00872433508828297	ALOX12/ALOX15B/CACNA1C/CACNA1D/CYP2C19/CYP2D6/DDC/GABRB2/GNG11/GNG13/HTR1A/HTR1F/HTR2B/HTR3B/HTR4/HTR5A/KCNJ9/PRKACG/PRKCG/PTGS2/SLC18A1	21
