	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_PROTEASOME	KEGG_PROTEASOME	KEGG_PROTEASOME	40	-0.595117508259774	-1.78672439783312	0.00186915887850467	0.133477633477633	0.127591706539075	4038	tags=62%, list=32%, signal=43%	PSMD14/SHFM1/PSMC4/PSME3/PSMA7/PSMC6/PSMB4/POMP/PSMD8/PSMD6/PSMB5/PSME1/PSMD7/PSMB6/PSMA5/PSMC5/PSMD2/PSMB10/PSMB2/PSMD11/PSMD4/PSMB9/PSMC3/IFNG/PSMB8
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	38	0.579348302625616	1.73633921786158	0.00213675213675214	0.133477633477633	0.127591706539075	2531	tags=37%, list=20%, signal=30%	ACSL5/ADH7/ADH6/CYP4A11/ACSL6/ACADSB/ACADL/ACADVL/ACSL4/ACADS/ECI2/ACAA2/ACADM/ALDH1B1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	72	0.494859132603612	1.65968738777749	0.00216450216450216	0.133477633477633	0.127591706539075	1475	tags=26%, list=12%, signal=23%	PLA2G2F/TNF/PLA2G4A/VAV1/PIK3CG/IL5/PLA2G1B/IL3/PRKCE/PLA2G12A/IL13/PLA2G5/MS4A2/FCER1G/LCP2/PLA2G2E/PIK3CD/PLA2G6/MAPK13
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	67	-0.486685464348956	-1.61029965788426	0.0036697247706422	0.140417457305503	0.134225506841107	2062	tags=33%, list=16%, signal=28%	NFKBIA/HLA-DOA/TLR2/ITGB1/CYBA/CR1/IFNG/NCF4/FCGR1A/IL4/NFKBIB/ITGAM/MAPK11/IL10/HLA-DRA/FCGR2A/PTGS2/NCF1/ITGB2/NCF2/HLA-DQA1/IL12A
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	118	-0.446241445473892	-1.59304013542692	0.00379506641366224	0.140417457305503	0.134225506841107	2264	tags=32%, list=18%, signal=27%	ICAM1/VCAN/HLA-DPA1/PDCD1/SELL/ICAM3/HLA-DOA/ITGB7/CDH4/F11R/CDH1/ITGB1/CLDN1/PTPRM/MAG/PVRL1/CLDN9/CLDN5/ICAM2/CD2/CNTNAP2/ICOSLG/CLDN17/ITGAM/CD8A/SELE/NFASC/HLA-DRA/PDCD1LG2/CLDN14/CLDN6/CD34/CD226/CD40LG/VCAM1/ITGB2/CDH5/HLA-DQA1
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	13	0.757414774193479	1.7822634167647	0.00609756097560976	0.14887339055794	0.142308561102327	1461	tags=54%, list=12%, signal=48%	PLA2G2F/PLA2G4A/PLA2G1B/PLA2G12A/PLA2G5/PLA2G2E/PLA2G6
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	46	0.50781873316861	1.58921162809577	0.00635593220338983	0.14887339055794	0.142308561102327	1461	tags=35%, list=12%, signal=31%	ALOX12/ALOX15B/PLA2G2F/CYP2C19/PLA2G4A/LTC4S/PLA2G1B/TBXAS1/CYP4F3/ALOX5/CYP4A11/PLA2G12A/PLA2G5/PLA2G2E/EPHX2/PLA2G6
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	97	0.432939198024531	1.52172940999711	0.00643776824034335	0.14887339055794	0.142308561102327	1788	tags=26%, list=14%, signal=22%	PLA2G2F/PLA2G4A/MYLK3/PLA2G1B/AVPR1B/ADRA1B/PTGIR/GUCY1B3/PRKCE/CYP4A11/PLA2G12A/ADCY2/NPR1/CACNA1D/ITPR3/PLA2G5/PRKCQ/ADRA1D/PLA2G2E/PLCB1/NPR2/PLA2G6/PPP1R12B/PRKCD/ACTG2
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	12	-0.749338939748153	-1.67560816460238	0.0100200400801603	0.205967490536629	0.196884998066308	1042	tags=58%, list=8%, signal=54%	ST3GAL5/ST8SIA1/B4GALNT1/ST3GAL1/ST3GAL2/ST8SIA5/ST6GALNAC5
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	51	-0.481451684422643	-1.50905862777553	0.0112994350282486	0.209039548022599	0.199821587867975	2088	tags=29%, list=17%, signal=25%	ARPC5L/CTTN/TLR5/CDH1/ITGB1/TUBA1A/ARPC4/ARPC1B/CLDN1/TUBB2B/TUBAL3/TUBB7P/TUBB1/LY96/CD14
