	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
RP58	RP58	RP58	42/388	207/12383	1.10773923585554e-22	2.62534198897763e-20	3.26491564252159e-21	ATOH7/TFAP4/HOXA3/NTN1/FOXP1/FOXP2/POU4F1/LTBP1/FAM49A/BTBD3/PHOX2B/ZNF238/OMA1/CACNB2/ARX/DMD/BAI3/KLF5/HGF/EPHA7/SEMA6D/NTRK2/ANKRD12/FMNL3/CMKLR1/LENG9/PROK2/IGF1/TP53INP2/LRP5/PDGFB/FGF10/ATOH8/SLC4A1/S1PR2/TNFAIP8/SIPA1/PACRG/CACNA2D3/ITGA8/NXPH4/TSC22D3	42
SOX9	SOX9	SOX9	62/388	485/12383	8.04872102132374e-22	9.53773441026863e-20	1.1861273084056e-20	OLIG2/HHEX/FGFR2/SOX5/SOX4/MEIS1/HOXA2/HOXA3/TFDP2/FN1/FOXP2/MYLK/LOXL4/IGF2BP1/DLG2/TRPM3/SSBP3/DPYSL5/EBF1/PDS5B/EFNA1/FST/FAM49A/DDAH2/PMCH/COLEC10/MYO18A/BCL2L1/DAAM1/PFN2/DMD/EGFLAM/HOXA10/MAML1/ZNF521/PCDH18/KCNQ1DN/GPR85/ZNF710/SORBS2/CCNJ/HN1/CER1/IGF1/MID1/BAMBI/FGF10/ZIC1/FSIP2/SLC4A1/ARID1A/FGFR1/TSSK3/FGD4/DNAJA2/FOXA1/ZIC4/DYRK1A/PHF6/NDST4/TRIM8/TSC22D3	62
TST1	TST1	TST1	43/388	262/12383	1.89483476849714e-19	1.49691946711274e-17	1.86159205326035e-18	OLIG2/MRPS18B/FGFR2/NEUROG1/PAX6/MGLL/DLG2/SSBP3/OTX2/PIK3R3/CITED2/BTBD3/STAG2/STAG1/PHOX2B/ZNF238/DMD/PLAGL2/KLF5/ESRRG/PCDH17/PCDH18/FOXG1/EPHA7/MAP2/RTN1/ZNF296/ANKRD28/TMSB4X/RUFY3/ZIC1/SMARCA2/SESN3/HOXA5/TMSL6/TMSL3/TMSB4XP1/CSTF3/CACNA2D3/HOXB8/ZIC4/NDST4/NXPH4	43
POU6F1	POU6F1	POU6F1	38/388	240/12383	9.38824137396384e-17	5.56253301407357e-15	6.9176515387102e-16	PCTP/SOX5/SOX4/MEIS1/HOXA2/FBXW7/SKIL/PRIMA1/NEUROG1/FOXP1/FOXP2/HOXB6/POU4F1/DLG2/OTX2/MBNL1/S100PBP/CHD2/POU2F1/ZNF827/LIPG/GRIN2B/STAG2/PHOX2B/CNTLN/EMX2/ZNF238/IL1RAPL1/PCDH18/HIP1R/NR2F1/CSRNP3/PDZRN4/COL1A2/HOXA5/LRRN4CL/CACNA2D3/PTH1R	38
EVI1	EVI1	EVI1	51/388	443/12383	4.31743157300441e-16	2.04646256560409e-14	2.54501229566576e-15	LOX/SATB2/HHEX/SOX5/HOXA2/HOXA3/FOXP2/SALL3/CACNA1D/MGLL/DLG2/OTX2/MBNL1/C17orf85/ZFPM1/CHD2/EBF1/WT1-AS/CITED2/FAM49A/GRIN2B/PHOX2B/CNTLN/EMX2/PCF11/DMD/IL1RAPL1/KLF5/ESRRG/MAP2/H3F3A/RTN1/NR2F1/CER1/HPSE2/BUB3/PDZRN4/IGF1/MID1/EIF5/FGF12/ZIC1/SESN3/ARPC2/CRAT/HOXB8/ZIC4/ITGA8/PHEX/UBXN10/NRG1	51
TAL1BETAITF2	TAL1BETAITF2	TAL1BETAITF2	38/388	256/12383	8.49599178319618e-16	3.35591675436249e-14	4.17346964788584e-15	ATOH7/DDIT3/TFAP4/SOX5/TFDP2/FOXP1/FOXP2/HOXB6/LTBP1/DDAH2/STAG2/STAG1/PHOX2B/STRN4/GLDN/ZNF238/HEXIM2/DMD/KCNQ1DN/ARSG/SEMA6D/ARHGAP44/ZNF710/FMNL3/PROK2/FOXO4/MID1/TP53INP2/LRP5/PDGFB/TNFAIP8/ASB4/FKRP/FGD4/C17orf28/ITGA8/NXPH4/UBXN10	38
TAL1BETAE47	TAL1BETAE47	TAL1BETAE47	36/388	248/12383	1.0349229422012e-14	3.39815405399577e-13	4.22599660279288e-14	ATOH7/DDIT3/TFAP4/SOX5/TFDP2/FOXP1/FOXP2/HOXB6/OMG/POU4F1/DCHS2/LTBP1/DDAH2/STAG2/STAG1/PHOX2B/GLDN/ZNF238/DMD/KCNQ1DN/ARSG/SEMA6D/ARHGAP44/KCNIP2/FMNL3/PROK2/TP53INP2/FGF10/ASB4/PACRG/FGD4/ITGA8/PHEX/NXPH4/UBXN10/R3HDM1	36
PR	PR	PR	48/388	430/12383	1.14705622075807e-14	3.39815405399577e-13	4.22599660279288e-14	LOX/ATOH7/MRPS18B/SOX5/HOXA2/SKIL/DSTN/DLG2/OTX2/LEAP2/HEPACAM/PPP2R2A/DCHS2/WT1-AS/SEPT7/GRIN2B/PDGFRA/PPP2R3A/PXN/BAI3/IL1RAPL1/C11orf92/EPHA7/ARSG/ARHGAP44/PMCHL1/ZNF654/JPH1/NR2F1/BCL9/PDZRN4/OR2L13/RAB30/LRP5/PDGFB/FGF10/GDNF/RBMS3/SESN3/HOXA5/TSSK3/FGD4/DNAJA2/FOXA1/HOXB8/TSC22D3/PHC2/IP6K2	48
CDX2	CDX2	CDX2	36/388	254/12383	2.20448503109264e-14	5.80514391521063e-13	7.21936618369521e-14	LOX/LSAMP/SOX4/MEIS1/HOXA2/HOXA3/ATXN7L1/FOXP1/HOXB6/PAX6/PAX1/DLG2/SSBP3/MBNL1/PIK3R3/FAM49A/DCAKD/STAG1/PHOX2B/CNTLN/NAV3/PCF11/DAAM1/ARX/DMD/IL1RAPL1/PLAGL2/EPHA7/CER1/HSD3B7/PDZRN4/FSIP2/NMT1/ZIC4/CLTC/PTH1R	36
PIT1	PIT1	PIT1	34/388	236/12383	7.41272366652792e-14	1.75681550896712e-12	2.18480276487139e-13	DSCAM/MRPS18B/SOX4/MEIS1/HOXA2/HOXA3/NEUROG1/FOXP2/HOXB6/PAX6/DLG2/OTX2/CHD2/POU2F1/VKORC1L1/CITED2/PMCH/PCF11/IL1RAPL1/ESRRG/ZNF521/PCDH18/EPHA7/ARHGAP44/PMCHL1/WBP1/ZNF654/PAPD5/CSRNP3/MID1/PHF15/MANF/HOXB8/ITGA8	34
